Team,Players,2019,2018,2017,2016,2015,Player_Batting_strength,,Team,AVERAGE of Player_Batting_strength
CSK,MS Dhoni,259.9,280.4,176.1,176.1,219.7,266.0331,,CSK,133.69
CSK,Ambati Rayudu,166.7,#N/A,74.3,74.3,179.0,#N/A,,Delhi,144.97
CSK,KM Asif,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,Hyderabad,98.34
CSK,Deepak Chahar,#N/A,64.5,57.9,57.9,#N/A,#N/A,,Kolkata,135.17
CSK,Dwayne Bravo,69.0,112.1,#N/A,#N/A,130.3,81.9483,,Mumbai,181.50
CSK,Faf du Plessis,233.5,115.8,#N/A,#N/A,223.8,198.1812,,Punjab,131.74
CSK,Imran Tahir,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,Rajasthan,114.22
CSK,Narayan Jagadeesan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RCB,159.48
CSK,Karn Sharma,#N/A,#N/A,50.9,50.9,81.7,#N/A,,Grand Total,135.68
CSK,Kedar Jadhav,105.6,33.8,168.9,168.9,128.6,84.0444,,,
CSK,Lungi Ngidi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,Mitchell Santner,53.4,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,Monu Kumar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,Murali Vijay,62.6,#N/A,#N/A,#N/A,154.4,#N/A,,,
CSK,Ravindra Jadeja,87.7,73.9,118.8,118.8,92.6,83.5505,,,
CSK,Ruturaj Gaikwad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,Shane Watson,231.5,320.3,57.3,57.3,213.5,258.1675,,,
CSK,Shardul Thakur,49.1,67.5,#N/A,#N/A,#N/A,54.62,,,
CSK,Sam Curran,89.2,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,Piyush Chawla,47.9,31.4,#N/A,#N/A,54.0,42.9535,,,
CSK,Josh Hazlewood,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,R Sai Kishore,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Shreyas Iyer,264.7,243.2,207.0,207.0,#N/A,258.2894,,,
Delhi,Ajinkya Rahane,#N/A,217.2,222.3,222.3,#N/A,#N/A,,,
Delhi,Amit Mishra,31.2,#N/A,58.0,58.0,#N/A,#N/A,,,
Delhi,Avesh Khan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Axar Patel,85.5,67.2,150.0,150.0,133.5,80.0054,,,
Delhi,Harshal Patel,#N/A,84.4,#N/A,#N/A,42.3,#N/A,,,
Delhi,Ishant Sharma,71.7,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Kagiso Rabada,27.1,#N/A,50.2,50.2,#N/A,#N/A,,,
Delhi,Keemo Paul,25.1,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Prithvi Shaw,209.9,161.3,#N/A,#N/A,#N/A,195.289,,,
Delhi,Ravichandran Ashwin,53.5,83.6,#N/A,#N/A,63.7,62.5311,,,
Delhi,Rishabh Pant,287.8,#N/A,224.0,224.0,#N/A,#N/A,,,
Delhi,Sandeep Lamichhane,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Shikhar Dhawan,#N/A,287.4,276.0,276.0,209.3,#N/A,,,
Delhi,Alex Carey,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Shimron Hetmyer,75.1,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Mohit Sharma,#N/A,#N/A,48.5,48.5,47.9,#N/A,,,
Delhi,Tushar Deshpande,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Marcus Stoinis,148.4,83.0,24.4,24.4,#N/A,128.7556,,,
Delhi,Lalith Yadav,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Anrich Nortje,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Daniel Sams,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,KL Rahul,#N/A,#N/A,#N/A,#N/A,102.1,#N/A,,,
Punjab,Arshdeep Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Chris Gayle,288.0,225.5,131.2,131.2,287.3,269.2193,,,
Punjab,Darshan Nalkande,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Krishnappa Gowtham,29.7,106.6,#N/A,#N/A,#N/A,52.7944,,,
Punjab,Hardus Viljoen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Harpreet Brar,43.3,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Jagadeesha Suchith,#N/A,#N/A,#N/A,#N/A,68.4,#N/A,,,
Punjab,Karun Nair,#N/A,185.3,171.8,171.8,120.4,#N/A,,,
Punjab,Mandeep Singh,122.4,160.7,120.9,120.9,116.6,133.8593,,,
Punjab,Mayank Agarwal,202.0,89.1,34.9,34.9,137.7,168.1635,,,
Punjab,Mohammad Shami,#N/A,#N/A,50.7,50.7,#N/A,#N/A,,,
Punjab,Mujeeb Ur Rahman,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Murugan Ashwin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Nicholas Pooran,123.8,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Sarfaraz Khan,128.7,53.4,#N/A,#N/A,95.1,106.1032,,,
Punjab,Glenn Maxwell,#N/A,116.9,198.9,198.9,102.3,#N/A,,,
Punjab,Sheldon Cottrell,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Deepak Hooda,55.5,71.5,76.8,76.8,112.3,60.3113,,,
Punjab,Ishan Porel,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Ravi Bishnoi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Jimmy Neesham,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Chris Jordan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Tajinder Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Simran Singh,31.6,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Dinesh Karthik,165.2,#N/A,219.2,219.2,98.4,#N/A,,,
Kolkata,Andre Russell,#N/A,203.6,#N/A,#N/A,212.4,#N/A,,,
Kolkata,Kamlesh Nagarkoti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Kuldeep Yadav,37.8,#N/A,31.2,31.2,#N/A,#N/A,,,
Kolkata,Lockie Ferguson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Nitish Rana,211.6,185.2,200.8,200.8,#N/A,203.6832,,,
Kolkata,Prasidh Krishna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Rinku Singh,45.8,35.4,#N/A,#N/A,#N/A,42.6847,,,
Kolkata,Sandeep Warrier,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Shivam Mavi,#N/A,25.1,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Shubman Gill,182.7,140.9,#N/A,#N/A,#N/A,170.1723,,,
Kolkata,Siddhesh Lad,35.1,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Sunil Narine,110.1,223.2,151.6,151.6,#N/A,144.0318,,,
Kolkata,Eoin Morgan,#N/A,#N/A,58.3,58.3,125.3,#N/A,,,
Kolkata,Pat Cummins,#N/A,#N/A,72.2,72.2,#N/A,#N/A,,,
Kolkata,Rahul Tripathi,101.4,147.6,233.2,233.2,#N/A,115.2927,,,
Kolkata,Varun Chakravarthy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,M Siddharth,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Chris Green,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Tom Banton,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Nikhil Naik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Kolkata,Ali Khan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Rohit Sharma,236.9,176.8,198.0,198.0,280.3,218.8489,,,
Mumbai,Aditya Tare,#N/A,#N/A,26.5,26.5,25.6,#N/A,,,
Mumbai,Anmolpreet Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Anukul Roy,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Dhawal Kulkarni,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Hardik Pandya,252.7,165.3,167.0,167.0,98.8,226.4764,,,
Mumbai,Ishan Kishan,75.7,174.3,173.7,173.7,#N/A,105.3032,,,
Mumbai,Jasprit Bumrah,#N/A,#N/A,39.5,39.5,#N/A,#N/A,,,
Mumbai,Jayant Yadav,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Kieron Pollard,181.3,98.8,229.3,229.3,253.7,156.5563,,,
Mumbai,Krunal Pandya,120.9,149.9,159.1,159.1,#N/A,129.5875,,,
Mumbai,Mitchell McClenaghan,20.3,#N/A,30.5,30.5,53.7,#N/A,,,
Mumbai,Quinton de Kock,#N/A,132.9,#N/A,#N/A,104.9,#N/A,,,
Mumbai,Rahul Chahar,29.6,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Sherfane Rutherford,67.9,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Suryakumar Yadav,248.0,#N/A,81.6,81.6,111.5,#N/A,,,
Mumbai,Trent Boult,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Chris Lynn,239.8,281.4,198.4,198.4,#N/A,252.252,,,
Mumbai,Nathan Coulter-Nile,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Saurabh Tiwary,#N/A,#N/A,65.8,65.8,82.4,#N/A,,,
Mumbai,Mohsin Khan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Digvijay Deshmukh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,Prince Balwant Rai Singh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Mumbai,James Pattinson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Steve Smith,194.7,#N/A,#N/A,#N/A,181.0,#N/A,,,
Rajasthan,Ankit Rajpoot,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Ben Stokes,92.5,127.2,196.1,196.1,#N/A,102.9221,,,
Rajasthan,Jofra Archer,77.1,22.7,#N/A,#N/A,#N/A,60.7402,,,
Rajasthan,Jos Buttler,197.5,#N/A,174.9,174.9,#N/A,#N/A,,,
Rajasthan,Mahipal Lomror,#N/A,35.0,#N/A,#N/A,#N/A,#N/A,,,
Rajasthan,Manan Vohra,#N/A,55.0,150.9,150.9,64.8,#N/A,,,
