Team,Players,2019,2018,2017,2016,2015,Player_Bowling_strength,,Team,AVERAGE of Player_Bowling_strength
CSK,MS Dhoni,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,CSK,167.00
CSK,Ambati Rayudu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,Delhi,155.56
CSK,KM Asif,#N/A,89,#N/A,#N/A,#N/A,#N/A,,Hyderabad,155.30
CSK,Deepak Chahar,220.1688086,185.4626374,102.6073794,126.9512195,#N/A,220.1688086,,Kolkata,137.84
CSK,Dwayne Bravo,176.9439451,167.7016064,#N/A,186.3786848,#N/A,176.9439451,,Mumbai,162.64
CSK,Faf du Plessis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,Punjab,123.21
CSK,Imran Tahir,#N/A,136.4110011,192.388535,137.0092807,163.4221719,#N/A,,Rajasthan,135.89
CSK,Narayan Jagadeesan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RCB,155.12
CSK,Karn Sharma,89.41065292,120.1376068,186.872023,111.8022945,169.5480192,89.41065292,,Grand Total,149.04
CSK,Kedar Jadhav,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,Lungi Ngidi,#N/A,203.6666667,#N/A,#N/A,#N/A,#N/A,,,
CSK,Mitchell Santner,167.0312966,#N/A,#N/A,#N/A,#N/A,167.0312966,,,
CSK,Monu Kumar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,Murali Vijay,#N/A,#N/A,#N/A,126,146.8571429,#N/A,,,
CSK,Ravindra Jadeja,226.480315,187.3179973,151.9324619,177.2989664,182.7661061,226.480315,,,
CSK,Ruturaj Gaikwad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,Shane Watson,#N/A,145.6071429,141.0290252,192.8501166,142.8748652,#N/A,,,
CSK,Shardul Thakur,144.8376068,#N/A,170.3121212,#N/A,82.98894155,144.8376068,,,
CSK,Sam Curran,145.2494888,#N/A,#N/A,#N/A,#N/A,145.2494888,,,
CSK,Piyush Chawla,165.9071429,182.047619,137.7318436,#N/A,176.2083333,165.9071429,,,
CSK,Josh Hazlewood,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
CSK,R Sai Kishore,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Shreyas Iyer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Ajinkya Rahane,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Amit Mishra,199.1481481,189.2524544,161.7502831,192.8688086,178.8016861,199.1481481,,,
Delhi,Avesh Khan,103,116.1966449,178.9130435,#N/A,#N/A,103,,,
Delhi,Axar Patel,201.2524544,148.3317422,195.6259947,183.8045623,178.447619,201.2524544,,,
Delhi,Harshal Patel,113.950104,129.1218029,100.0232558,110.2380952,194.1898396,113.950104,,,
Delhi,Ishant Sharma,190.9261214,#N/A,118.6036217,119.4198783,103.1057269,190.9261214,,,
Delhi,Kagiso Rabada,#N/A,#N/A,140.707378,#N/A,#N/A,#N/A,,,
Delhi,Keemo Paul,150.7788991,#N/A,#N/A,#N/A,#N/A,150.7788991,,,
Delhi,Prithvi Shaw,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Ravichandran Ashwin,207.5515818,184.0093943,#N/A,191.9310345,220.2328767,207.5515818,,,
Delhi,Rishabh Pant,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Sandeep Lamichhane,140.5290252,163.4128843,#N/A,#N/A,#N/A,140.5290252,,,
Delhi,Shikhar Dhawan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Alex Carey,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Shimron Hetmyer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Mohit Sharma,115.1111111,128.5658986,169.8827202,180.4895113,189.623962,115.1111111,,,
Delhi,Tushar Deshpande,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Marcus Stoinis,133.3425287,105.7431193,107.8109838,149.623962,#N/A,133.3425287,,,
Delhi,Lalith Yadav,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Anrich Nortje,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Delhi,Daniel Sams,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,KL Rahul,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
Punjab,Arshdeep Singh,104.7431193,#N/A,#N/A,#N/A,#N/A,104.7431193,,,
