Season,Team,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,player_strength
2019,CSK,1,MS Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,22,23,259.9
2019,CSK,2,Shane Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,231.5
2019,CSK,3,Faf du Plessis,12,12,1,396,96,36,321,123.36,0,3,36,15,233.5
2019,CSK,4,Suresh Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,223.1
2019,CSK,5,Ambati Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,166.7
2019,CSK,6,Kedar Jadhav,14,12,3,162,58,18,169,95.85,0,1,19,3,105.6
2019,CSK,7,Ravindra Jadeja,16,9,6,106,31*,35.33,88,120.45,0,0,7,4,87.7
2019,CSK,8,Dwayne Bravo,12,9,4,80,27,16,66,121.21,0,0,6,3,69.0
2019,CSK,9,Murali Vijay,2,2,0,64,38,32,61,104.91,0,0,6,1,62.6
2019,CSK,10,Mitchell Santner,4,2,1,32,22,32,23,139.13,0,0,0,3,53.4
2019,CSK,11,Shardul Thakur,10,3,1,14,12*,7,7,200,0,0,1,1,49.1
2019,Delhi,1,ShikharDhawan,16,16,1,521,97*,34.73,384,135.67,0,5,64,11,298.1
2019,Delhi,2,Rishabh Pant,16,16,3,488,78*,37.53,300,162.66,0,3,37,27,287.8
2019,Delhi,3,Shreyas Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,264.7
2019,Delhi,4,Prithvi Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,209.9
2019,Delhi,5,Colin Ingram,12,12,2,184,47,18.4,154,119.48,0,0,20,5,121.4
2019,Delhi,6,Axar Patel,14,12,6,110,26,18.33,88,125,0,0,10,3,85.5
2019,Delhi,7,Colin Munro,4,4,0,84,40,21,70,120,0,0,9,4,72.3
2019,Delhi,8,Sherfane Rutherford,7,7,2,73,28*,14.6,54,135.18,0,0,2,7,67.9
2019,Delhi,9,Chris Morris,9,6,0,32,17,5.33,37,86.48,0,0,1,2,34.9
2019,Delhi,10,Rahul Tewatia,5,4,3,26,11*,26,22,118.18,0,0,2,1,44.4
