Season,Team,POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,player_strength
2019,CSK,1,ImranTahir,17,17,64.2,431,26,0,16.57,6.69,14.84,2,0,239.6768311
2019,CSK,2,Deepak Chahar,17,17,64.3,482,22,0,21.9,7.47,17.59,0,0,220.1688086
2019,CSK,3,Harbhajan Singh,11,11,44,312,16,0,19.5,7.09,16.5,0,0,201.0437236
2019,CSK,4,Ravindra Jadeja,16,16,54,343,15,0,22.86,6.35,21.6,0,0,226.480315
2019,CSK,5,Dwayne Bravo,12,12,41.1,330,11,0,30,8.01,22.45,0,0,176.9439451
2019,CSK,6,Shardul Thakur,10,9,30,281,8,0,35.12,9.36,22.5,0,0,144.8376068
2019,CSK,7,Mitchell Santner,4,4,14,94,4,0,23.5,6.71,21,0,0,167.0312966
2019,CSK,8,Scott Kuggeleijn,2,2,8,71,2,0,35.5,8.87,24,0,0,122.7395716
2019,CSK,9,Mohit Sharma,1,1,3,27,1,0,27,9,18,0,0,115.1111111
2019,CSK,10,Karn Sharma,1,1,2.5,33,1,0,33,11.64,17,0,0,89.41065292
2019,CSK,11,Suresh Raina,17,1,1,6,0,0,50,6,-,0,0,167.6666667
2019,Delhi,1,KagisoRabada,12,12,47,368,25,0,14.72,7.82,11.28,2,0,199.8772379
2019,Delhi,2,Ishant Sharma,13,13,46,349,13,0,26.84,7.58,21.23,0,0,190.9261214
2019,Delhi,3,Chris Morris,9,9,33,306,13,0,23.53,9.27,15.23,0,0,153.8748652
2019,Delhi,4,Amit Mishra,11,11,40,270,11,0,24.54,6.75,21.81,0,0,199.1481481
2019,Delhi,5,Axar Patel,14,14,51,364,10,0,36.4,7.13,30.6,0,0,201.2524544
2019,Delhi,6,Keemo Paul,8,8,27.1,237,9,0,26.33,8.72,18.11,0,0,150.7788991
2019,Delhi,7,Sandeep Lamichhane,6,6,23,210,8,0,26.25,9.13,17.25,0,0,140.5290252
2019,Delhi,8,Trent Boult,5,5,19,163,5,0,32.6,8.57,22.8,0,0,140.6861144
2019,Delhi,9,Rahul Tewatia,5,3,6.2,42,2,0,21,6.63,19,0,0,159.0295626
2019,Delhi,10,Jagadeesha Suchith,1,1,4,28,2,0,14,7,12,0,0,148.8571429
2019,Delhi,11,Harshal Patel,2,2,8,77,2,0,38.5,9.62,24,0,0,113.950104
2019,Delhi,12,Sherfane Rutherford,7,6,6.5,59,1,0,59,8.63,41,0,0,123.3748552
2019,Delhi,13,Hanuma Vihari,2,1,1,9,0,0,50,9,-,0,0,112.1111111
2019,Delhi,14,Avesh Khan,1,1,3,30,0,0,50,10,-,0,0,103
2019,Punjab,1,MohammadShami,14,14,54,469,19,0,24.68,8.68,17.05,0,0,188.2073733
2019,Punjab,2,Ravichandran Ashwin,14,14,55,400,15,0,26.66,7.27,22,0,0,207.5515818
