Season,Team,AVERAGE of player_strength,,SUM of player_strength,Season,,,,
2019,CSK,140.2,,PLAYER,2019,2018,2017,2016,2015
2019,Delhi,117.3,,Aaron Finch,,98.8,190.2,190.2,28.9
2019,Hyderabad,121.8,,AB de Villiers,265.1,290.9,142.6,142.6,
2019,Kolkata,141.5,,ABde Villiers,,,,,305.5
2019,Mumbai,121.1,,Abhishek Sharma,,88.6,,,
2019,Punjab,142.1,,Abu Nechim,,,,,48.0
2019,Rajasthan,122.1,,Aditya Tare,,,26.5,26.5,25.6
2019,RCB,105.8,,Ajinkya Rahane,,217.2,222.3,222.3,
2018,CSK,149.3,,AjinkyaRahane,233.9,,,,310.9
2018,Delhi,124.8,,Akshdeep Nath,55.6,,,,
2018,Hyderabad,132.7,,Albie Morkel,,,,,95.3
2018,Kolkata,141.3,,Alex Hales,,106.5,,,
2018,Mumbai,145.2,,Alzarri Joseph,30.6,,,,
2018,Punjab,118.2,,Ambati Rayudu,166.7,,74.3,74.3,179.0
2018,Rajasthan,117.9,,AmbatiRayudu,,343.9,,,
2018,RCB,107.9,,Amit Mishra,31.2,,58.0,58.0,
2017,Delhi,106.5,,Andre Russell,,203.6,,,212.4
2017,Gujarat,140.0,,AndreRussell,313.0,,,,
2017,Hyderabad,151.8,,Andrew Tye,,34.4,69.8,69.8,
2017,Kolkata,122.4,,Angelo Mathews,,,44.5,44.5,105.9
2017,Mumbai,119.0,,Aniket Choudhary,,,45.0,45.0,
2017,Pune,141.2,,Ankit Sharma,,,53.3,53.3,
2017,Punjab,112.8,,Anureet Singh,,,37.0,37.0,22.4
2017,RCB,94.1,,Ashish Reddy,,,,,75.5
2016,Delhi,106.5,,Axar Patel,85.5,67.2,150.0,150.0,133.5
2016,Gujarat,140.0,,Basil Thampi,,,34.0,34.0,
2016,Hyderabad,151.8,,Ben Cutting,32.9,88.3,72.4,72.4,
2016,Kolkata,122.4,,Ben Stokes,92.5,127.2,196.1,196.1,
2016,Mumbai,119.0,,Bhuvneshwar Kumar,19.8,24.7,,,47.6
